Y,X1,X2,X3
1,1.13326315886781,17.4960322816331,-12.1816723197309
0,-1.7474102381141,15.1588723725952,-1.91419763142881
1,4.30653482253752,16.2089708255525,-10.1707372684722
0,1.20658941317471,17.5389512493763,-7.97359138469854
0,-1.01553806310914,18.6886307251405,-10.7971665404053
1,3.58422145346161,16.2870906044417,-13.1415689753329
0,-3.51677518830072,17.457646524745,-4.66386252730718
0,-2.91232453613545,18.3805421608354,-13.0633733170252
0,1.95305981000882,16.1764813862904,-3.31352300195695
0,-2.97432070258297,17.4906451083223,-10.4750493717005
0,-3.78880552285851,17.1514979608749,-6.05956821203649
1,3.15890174899069,17.2580441735376,-10.2625097070141
0,-0.913838847569036,16.3880613497876,-13.0183716562853
0,-6.51575543207559,16.0519373958029,-10.5675487383103
1,1.77989217074931,17.5229142646645,-8.30369376975308
0,-4.58612168589336,16.9288504919495,-10.3000957154112
0,-1.33035662676957,16.5632570957768,-12.9149491341986
0,-1.18194267428702,17.9519215801582,-9.43492508337383
0,2.18565619637568,16.4768614032748,-15.2809324001906
0,5.34969935198363,16.2353677207187,-3.17514855187692
0,-4.74845901441342,19.0548224619335,-17.9578907193471
1,0.7585719326555,16.2616611422911,-13.4698717134367
0,1.48226075863731,17.3878307866979,-6.79108258458198
0,-1.62442737886068,18.7207703870376,-11.5079157109408
0,0.761593903565816,16.3565508026679,-12.2040259294838
0,-2.6945751156232,16.659568588498,-0.580437560554804
0,-3.74286889315854,16.3196661706521,-3.35693926098829
0,-5.38785031591321,15.7972654909537,-9.18910950139707
0,-3.60112053556643,17.9366388950372,-17.6743280181367
0,-2.4603418925831,18.0165962933639,-9.49204952046785
